county_name,crime_rate_per_100000,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,Households,Mean,Stdev
"Crittenden County, AR",1754.914968,8,38,165,662,1482,1753,189,28,49746,14585.0,102159.44557247695,357157000.9321901
"Alexander County, IL",1664.700485,1,2,5,119,82,184,12,2,7629,1729.0,55906.10547459778,238104667.28812677
"De Soto Parish, LA",1447.40243,3,4,17,368,149,494,60,0,27083,1939.0,99694.33944161622,357157000.9321901
"Shelby County, TN",1315.0037519999998,135,483,3512,8224,14011,30620,3233,435,939465,268905.0,118835.36815212047,178578500.4660951
"Marlboro County, SC",1253.437132,3,20,32,296,408,1074,67,5,28003,1263.0,45890.36877336065,119052333.64406338
"Storey County, NV",1217.656012,0,7,2,39,23,55,8,2,3942,397.0,86204.05904081941,59526166.82203169
"Scott County, MO",1163.145839,2,7,26,422,236,1002,39,8,39290,8082.0,104221.58670952711,297630834.11015844
"Pershing County, NV",1148.756725,0,3,1,75,27,43,5,0,6877,410.0,76881.36210380745,178578500.4660951
"Greenwood County, SC",1140.226324,7,39,73,676,965,2564,122,12,69723,1127.0,75770.02528447864,297630834.11015844
"Madison County, TN",1138.4238300000002,13,33,196,882,1300,2604,180,27,98733,8.0,48399.499996666505,59526166.82203169
"Davidson County, TN",1129.513728,65,312,1753,5309,5875,20373,1418,100,658602,2127.0,210185.06798321742,119052333.64406338
"Marion County, IN",1083.5081189999999,102,453,3486,6017,15125,29122,4757,414,928281,30127.0,103679.648115859,535735501.39828515
"Wayne County, MI",1065.188284,433,803,5879,11795,19882,34706,15251,766,1775273,388356.0,85376.02178620288,952418669.1525073
"Jackson County, MO",1026.623686,116,358,1913,4594,9695,25994,4953,318,679996,95090.0,115570.63482086874,654787835.0423486
"Northwest Arctic Borough, AK",1014.964216,0,23,12,43,46,126,38,2,7685,1647.0,126031.87192422987,535735501.39828515
"Pemiscot County, MO",998.7095326,0,6,21,151,192,463,23,2,17823,448.0,50677.27617135601,297630834.11015844
"Iberville Parish, LA",974.0162436,5,9,26,285,266,928,26,0,33367,5635.0,96070.92466043154,357157000.9321901
"Pulaski County, AR",959.9165822999998,61,179,1058,2458,7065,18011,1805,130,391284,94302.0,137162.5038320162,476209334.5762535
"Jefferson County, AR",959.1343197999998,14,42,139,507,1400,2306,255,44,73191,2599.0,110345.4954761097,238104667.28812677
"Miller County, AR",956.1771347000001,1,9,45,360,488,1597,130,6,43402,264.0,92690.7817904309,59526166.82203169
"Muskogee County, OK",954.4400666000001,3,34,41,593,878,1324,142,23,70303,3249.0,86790.46437673981,535735501.39828515
"Barnwell County, SC",953.9310095000001,5,4,33,169,349,691,74,10,22119,909.0,58376.55720717309,59526166.82203169
"Tangipahoa Parish, LA",952.8593755,11,64,185,935,2683,4262,218,1,125412,4454.0,73148.27289984502,357157000.9321901
"Marion County, SC",941.6313295,8,12,51,231,771,1060,92,12,32072,2597.0,83768.39607898398,178578500.4660951
"Dillingham Census Area, AK",938.1237525,0,18,1,28,12,55,7,0,5010,920.0,128743.56675393516,178578500.4660951
"Dougherty County, GA",930.4176661,4,32,240,589,1600,3844,266,13,92969,29076.0,86742.7865625299,59526166.82203169
"Carter County, OK",930.0694973999999,4,42,37,368,450,1327,109,23,48491,13171.0,106800.62257888027,297630834.11015844
"Genesee County, MI",922.7783983999999,69,242,980,2542,6105,8311,936,313,415376,64438.0,83342.56225002914,595261668.2203169
"Macon County, AL",919.3417310000001,6,10,25,140,516,640,110,3,19688,192.0,56995.0922467454,59526166.82203169
"Milwaukee County, WI",912.6349471000001,103,276,3426,4919,8744,29434,5223,351,956023,297726.0,102863.28445306624,535735501.39828515
"Richland County, SC",911.4452882000002,24,184,809,2622,4965,12511,2087,51,399256,63917.0,120392.43134661182,357157000.9321901
"Grundy County, TN",911.2461105000001,3,4,1,115,157,167,63,12,13498,290.0,38813.5867607186,59526166.82203169
"Greene County, AL",903.4766697000001,0,2,7,70,48,90,15,12,8744,1167.0,54390.030774126,119052333.64406338
"Rock County, MN",892.8571429,0,0,0,85,9,52,3,0,9520,2265.0,98860.773228576,238104667.28812677
"San Joaquin County, CA",887.1644385,89,152,1992,4016,8019,16847,4398,158,704379,139622.0,119416.66900678187,892892502.3304756
"Pottawattamie County, IA",873.5225606,1,79,83,647,1166,3283,567,55,92728,26781.0,104520.55161960442,476209334.5762535
"Nolan County, TX",871.1844117999999,0,27,10,94,143,345,19,1,15037,3997.0,84161.90090175241,59526166.82203169
"Kodiak Island Borough, AK",856.0311284,0,8,10,103,23,200,31,3,14135,2471.0,128182.59854695774,416683167.7542218
"Winnebago County, IL",854.9331535,15,196,553,1721,2939,7356,492,101,290666,19493.0,119663.48438716846,476209334.5762535
"Suffolk County, MA",831.2342903,60,310,2257,3653,3956,16223,1998,11,755503,284382.0,156738.82255461597,178578500.4660951
"Saginaw County, MI",828.830479,29,126,242,1232,1751,2707,223,56,196542,30222.0,74143.74792433782,476209334.5762535
"Dallas County, AL",828.6503477000001,9,24,70,245,743,1415,158,26,41996,2349.0,105770.97675017298,178578500.4660951
"Fulton County, GA",826.1767583,123,216,3365,4428,11091,31070,7645,135,984293,299758.0,171845.7357372848,595261668.2203169
"Madison County, FL",822.2981632,1,7,13,133,153,317,16,4,18728,1123.0,45893.982906021905,59526166.82203169
"Phillips County, AR",818.6675817,1,8,26,132,478,442,33,11,20399,5236.0,109181.21096769048,178578500.4660951
"Sangamon County, IL",817.9969369,40,160,318,1110,2104,6278,875,76,199145,59554.0,128887.79734497974,654787835.0423486
"Lucas County, OH",810.9662621,40,184,1192,2122,7618,3320,1529,547,436393,135565.0,90840.17909414749,416683167.7542218
"Robeson County, NC",809.8427036,13,32,273,775,2937,4637,385,69,134841,13130.0,90204.24625682163,773840168.6864121
"Meade County, KS",805.8945428999999,0,1,0,34,5,23,0,0,4343,635.0,94706.0650185053,59526166.82203169
"Escambia County, FL",798.51676,22,162,502,1756,3899,9920,680,52,305817,44207.0,87126.65826488091,476209334.5762535
"Jefferson County, AL",798.3574913,85,268,1597,3315,9910,19810,1809,185,659479,65486.0,141178.57416064342,1369101836.9067295
"Nicholas County, WV",793.3756981,1,7,2,196,86,308,19,16,25965,1751.0,131688.57738729136,178578500.4660951
"Franklin County, FL",793.2402137999999,1,16,1,74,84,130,11,1,11598,1916.0,81171.71542475099,178578500.4660951
"St. Clair County, IL",782.1542957,28,183,349,1528,2426,5150,657,70,266955,46158.0,94508.45681592976,1011944835.974539
"Ector County, TX",781.9089826000001,5,44,163,956,1090,3571,516,26,149378,91.0,188024.90748303602,59526166.82203169
"Avoyelles Parish, LA",777.2585293,2,31,17,271,378,787,35,3,41299,3836.0,75651.29075064055,297630834.11015844
"Rapides Parish, LA",773.7920330000001,9,43,169,806,1747,4207,249,4,132723,7117.0,94398.60652236086,357157000.9321901
"Sumter County, SC",767.644257,12,30,103,685,1611,2713,346,54,108123,4237.0,67757.88829579654,595261668.2203169
"Comanche County, OK",766.7864603999999,13,42,174,729,1702,3616,330,42,124937,34699.0,98489.78352694704,297630834.11015844
"Mississippi County, AR",763.9897241,8,21,47,266,891,1273,114,6,44765,2084.0,79301.41979370828,476209334.5762535
"Colleton County, SC",762.1467132,2,14,26,246,419,1151,194,14,37788,2866.0,103836.01749861846,357157000.9321901
"Modoc County, CA",754.3456871000001,1,12,3,53,58,90,4,5,9147,1600.0,69487.57184421697,416683167.7542218
"Alameda County, CA",753.6935735000001,153,477,6220,5050,13245,35841,13044,337,1578891,285246.0,160526.1367517069,535735501.39828515
"Sumter County, GA",752.455044,0,4,40,192,741,826,42,0,31364,564.0,81616.23411065548,238104667.28812677
"Darlington County, SC",746.3016117999999,10,17,70,410,1178,2471,217,11,67935,2958.0,96582.0971572251,119052333.64406338
"Red River Parish, LA",742.0733078,0,0,2,64,23,116,12,0,8894,1167.0,72420.40556928229,178578500.4660951
"Lubbock County, TX",740.6920961,12,139,328,1664,3400,9224,828,52,289324,92971.0,119803.7977816174,119052333.64406338
"Socorro County, NM",739.3084622,0,3,2,124,139,365,23,3,17584,986.0,45510.066017785095,595261668.2203169
"Duval County, TX",738.8316151,1,0,5,80,105,171,65,5,11640,1915.0,117183.37873033535,119052333.64406338
"Bernalillo County, NM",738.4818924,50,329,1184,3416,7857,22025,3032,139,674221,227417.0,122374.9571984965,595261668.2203169
"Marion County, TX",732.7796776,1,9,5,60,115,144,13,4,10235,1288.0,134030.54573532313,119052333.64406338
"Lee County, SC",730.3646372999999,0,4,18,112,255,511,66,8,18347,1260.0,51733.35665351019,59526166.82203169
"Shasta County, CA",725.2206951000001,7,97,165,1029,1754,3623,903,35,178980,8529.0,81785.14256281962,654787835.0423486
"Laurens County, SC",724.7580365,6,31,49,394,734,1600,119,13,66229,1589.0,82239.43005812641,238104667.28812677
"North Slope Borough, AK",722.6925459,1,14,3,52,36,59,11,1,9686,1644.0,161588.6528254126,297630834.11015844
"Hinds County, MS",721.5219335,66,143,846,712,4627,7416,1272,69,244899,72302.0,106795.11393724832,238104667.28812677
"Cibola County, NM",720.6877628999999,1,15,7,174,232,199,51,2,27335,4153.0,96400.62865218743,654787835.0423486
"Tulsa County, OK",719.1412721,45,381,1122,2928,7291,15582,2702,263,622409,181088.0,135467.00338795196,416683167.7542218
"Putnam County, FL",717.8582747,5,37,51,428,1029,1952,80,7,72577,538.0,68691.192212868,59526166.82203169
"Jefferson County, TX",710.8948399,20,114,554,1106,3147,6454,519,99,252358,87109.0,119054.88016815338,535735501.39828515
"Ohio County, WV",706.6572141,0,24,46,240,322,764,56,4,43727,1823.0,114268.64461419667,238104667.28812677
"Bamberg County, SC",699.9351912000001,0,2,21,85,231,415,41,2,15430,1705.0,84892.16355636017,238104667.28812677
"Merced County, CA",696.3544912000001,23,54,331,1425,2686,6047,1358,83,263228,46789.0,103186.8185280848,714314001.8643804
"Harris County, TX",696.1038338,307,1143,12449,16290,43644,114208,20829,1153,4336853,932353.0,151227.5711111765,1785785004.6609516
"Jim Wells County, TX",695.7773512,13,17,7,253,467,1089,93,14,41680,7559.0,111810.58733907795,357157000.9321901
"Oklahoma County, OK",694.8738489,83,398,1137,3630,10118,23238,4163,145,755245,45353.0,106242.70699218583,595261668.2203169
"McKinley County, NM",694.3307687999999,7,42,67,393,540,1615,127,18,73308,7504.0,101375.9651405209,476209334.5762535
"Mississippi County, MO",693.1802269,2,4,6,87,128,286,13,8,14282,563.0,50145.07376641214,238104667.28812677
"Alpine County, CA",690.2502157,0,3,0,5,18,20,5,0,1159,82.0,77808.9303545799,59526166.82203169
"Calhoun County, GA",689.8666258,0,0,14,31,21,49,7,0,6523,396.0,161424.798061376,59526166.82203169
"Dyer County, TN",688.2474551,0,9,23,231,387,1084,50,3,38213,1412.0,86661.28113813215,119052333.64406338
"Clark County, NV",685.1530769999999,94,739,4422,8639,17538,33364,8213,297,2027868,349705.0,117269.02115902267,654787835.0423486
"Guadalupe County, NM",681.1689739,0,0,6,25,34,53,8,1,4551,190.0,43836.53854384502,238104667.28812677
"San Juan County, NM",675.0828044,6,133,57,657,725,2325,189,29,126503,12786.0,89681.30735275331,1011944835.974539
"Fairfield County, SC",675.0616643,4,8,15,129,211,607,68,5,23109,970.0,42883.87112091766,178578500.4660951
"McDonald County, MO",673.8186009,1,4,4,143,110,266,25,6,22558,2211.0,94898.58570468564,297630834.11015844
"Taylor County, FL",673.754211,3,10,6,135,117,164,15,3,22857,3246.0,66002.60235066985,119052333.64406338
"Wayne County, GA",668.2847357999999,8,6,24,163,318,1289,24,0,30077,469.0,76559.39405673933,119052333.64406338
"East Baton Rouge Parish, LA",667.0754469,84,77,1297,1512,5806,15182,671,213,445227,115751.0,130024.40989304394,476209334.5762535
"Lander County, NV",663.1299735,0,9,0,31,38,55,11,3,6032,120.0,84035.2288954753,59526166.82203169
"Orange County, FL",662.6310837,76,450,1977,5616,14034,32034,4013,50,1225267,158889.0,118085.92791524806,1071471002.7965708
"Leflore County, MS",661.2459265,2,24,46,137,601,906,34,3,31607,994.0,55256.39743120787,178578500.4660951
"Essex County, NJ",659.9836619,121,132,2938,2021,4849,10759,5882,119,789565,129941.0,102849.47059275834,357157000.9321901
"Peach County, GA",658.9175982999999,0,2,19,157,286,688,47,1,27014,3169.0,58492.54663594646,178578500.4660951
"Burke County, GA",658.7270427,2,1,11,137,215,397,21,0,22923,2609.0,65113.85653024788,297630834.11015844
"Hamilton County, TN",658.496643,26,91,560,1619,3405,10133,1216,37,348673,90029.0,120909.33912916039,773840168.6864121
"Miami-Dade County, FL",656.0124347999999,210,570,6006,10383,21105,82992,9451,226,2617176,375993.0,127646.48386934702,2321520506.0592365
"Columbia County, FL",654.3979391,3,20,46,373,812,1317,53,3,67543,525.0,90484.55038535365,119052333.64406338
"Crockett County, TN",651.0862861,1,11,2,81,81,171,15,0,14591,2420.0,85420.0833855022,297630834.11015844
"Lenoir County, NC",650.100146,1,18,76,288,796,1468,67,11,58914,1403.0,75534.4747181894,59526166.82203169
"Hempstead County, AR",649.6395835,2,16,12,116,332,615,51,6,22474,3393.0,54109.55812028546,178578500.4660951
"Hutchinson County, TX",646.2257665,0,20,5,116,184,489,21,5,21819,1648.0,100490.51655181988,178578500.4660951
"Jefferson Davis County, MS",644.4593237,5,2,3,68,206,48,17,0,11948,512.0,76473.29545218014,119052333.64406338
"Conecuh County, AL",644.0599053,1,4,8,70,108,252,42,5,12887,1777.0,57479.98486256878,119052333.64406338
"Morehouse Parish, LA",639.3909155,0,3,34,136,315,842,50,6,27057,283.0,126562.48820584986,119052333.64406338
"Early County, GA",635.5530259999999,1,3,8,55,105,196,6,0,10542,12.0,88999.5,59526166.82203169
"Henderson County, TN",634.6263548,1,8,10,159,204,544,43,3,28048,2971.0,95409.17399486869,59526166.82203169
"Jefferson County, IL",633.9923403,0,20,27,198,326,832,30,16,38644,7366.0,101245.08198076919,297630834.11015844
"Warren County, GA",629.7229219,0,0,1,34,30,60,5,0,5558,51.0,68740.7134032411,59526166.82203169
"Nash County, NC",628.8580653,11,17,100,470,1125,1981,166,12,95093,20099.0,107810.09395381316,297630834.11015844
"Lauderdale County, TN",626.0118726,2,9,16,147,420,472,41,4,27795,456.0,36065.1103770214,59526166.82203169
"Cocke County, TN",625.7222582,3,4,24,191,483,1033,89,15,35479,107.0,76147.4421678209,59526166.82203169
"Bowie County, TX",622.5464503,7,33,88,454,1073,2541,241,27,93487,16128.0,114791.34576845776,238104667.28812677
"Hampton County, SC",622.3049784,0,7,18,102,203,336,27,17,20408,2153.0,75663.28717464933,238104667.28812677
"Hendry County, FL",621.814203,0,15,37,181,595,646,52,8,37471,5622.0,108697.40819225565,297630834.11015844
"Duval County, FL",621.5464156,94,355,1436,3621,8025,27335,1712,96,885855,318575.0,120838.446941404,59526166.82203169
"Durham County, NC",621.2408853,21,70,633,1066,3735,7491,772,61,288133,1503.0,191150.04537365396,119052333.64406338
"Greene County, MO",620.7066615,17,163,362,1219,2863,13016,1238,86,283870,83037.0,98433.01351375211,416683167.7542218
"Jefferson County, FL",619.9802734,0,3,6,79,103,64,9,2,14194,63.0,52644.1444821314,59526166.82203169
"Escambia County, AL",618.6978385,3,7,18,207,299,793,62,14,37983,2812.0,88877.63829146854,178578500.4660951
"Horry County, SC",617.6419817000001,21,201,416,1151,3158,10088,1073,57,289650,37187.0,105990.67231348548,476209334.5762535
"Nueces County, TX",616.5739392,18,194,392,1567,2723,11976,491,41,352107,115784.0,122919.12513469486,535735501.39828515
"Sedgwick County, KS",615.5337693,24,273,513,2301,4575,17136,1967,160,505415,10210.0,116938.46893453856,476209334.5762535
"Edgecombe County, NC",615.3956886,3,14,61,264,735,1301,83,13,55574,507.0,49706.44136046217,297630834.11015844
"Montgomery County, KS",615.303861,1,17,17,176,303,858,48,20,34292,1151.0,64504.1697928386,238104667.28812677
"Caddo Parish, LA",614.7822368,17,98,436,1016,2642,7558,479,79,254887,3349.0,91165.03020746756,178578500.4660951
"Graham County, AZ",613.6278747,1,0,0,229,119,251,21,7,37482,1806.0,92478.39222495422,357157000.9321901
"Madera County, CA",612.9051308999999,2,35,139,758,1654,1715,648,11,152389,27668.0,99008.16778531134,535735501.39828515
"Sebastian County, AR",612.5237549,6,77,97,600,1261,3804,199,12,127342,3822.0,114422.94191123793,238104667.28812677
"Emanuel County, GA",612.2359732000001,2,6,14,118,253,799,59,2,22867,3294.0,84581.97579378716,357157000.9321901
"Camden County, NJ",610.3101467,71,117,1182,1760,3986,11325,1388,173,512854,53370.0,141074.4259602266,1190523336.4406343
"Nye County, NV",609.9723385,0,11,26,221,334,687,126,10,42297,14969.0,95830.08229150956,178578500.4660951
"Greenlee County, AZ",607.8019671,1,3,1,50,37,88,4,0,9049,1126.0,108102.0458910951,119052333.64406338
"Alachua County, FL",605.2451953,10,138,253,1133,1917,6331,357,25,253451,55814.0,107121.83699438999,238104667.28812677
"Union County, AR",604.5117216,1,4,36,205,522,802,62,7,40694,1010.0,83798.16725395026,178578500.4660951
"Peoria County, IL",603.941007,14,53,347,723,1809,4545,290,61,188429,12317.0,109059.78138670993,595261668.2203169
"Madison County, AL",603.3578173999999,18,107,523,1445,3217,8556,919,33,346892,22085.0,153771.29949477658,416683167.7542218
"Calhoun County, MI",602.1686961,11,83,112,606,1405,2782,170,41,135012,6562.0,84583.06187282047,238104667.28812677
"Williamsburg County, SC",601.8084495,4,11,39,145,440,785,116,17,33067,1297.0,91046.25850695634,178578500.4660951
"Roberts County, TX",601.6847172,0,1,0,4,1,13,3,0,831,240.0,98090.2799421853,59526166.82203169
"Bradley County, TN",600.895452,1,38,54,519,681,2409,160,7,101848,4195.0,91886.74232542522,238104667.28812677
"Anderson County, SC",600.0807801,18,55,157,914,2438,6372,835,36,190641,21946.0,85998.77880901143,595261668.2203169
"Chester County, SC",598.5634477000001,2,12,25,156,389,867,60,2,32578,795.0,71315.38121858193,119052333.64406338
"Lowndes County, AL",597.9631879,1,3,8,51,117,127,25,7,10703,1855.0,76586.86132339913,297630834.11015844
"Willacy County, TX",597.6004743999999,0,14,4,113,226,463,16,7,21921,3322.0,66975.21788332774,297630834.11015844
"Cook County, IL",596.6569350999999,566,463,15583,14657,34233,115634,20245,892,5240700,1431493.0,143546.52200074718,4226357844.3642445
"Clark County, IN",593.2458517000001,3,16,73,579,954,3388,263,4,112938,3976.0,86236.44216779426,178578500.4660951
"DeKalb County, GA",592.9851123,80,163,2140,1847,10669,21449,5575,184,713340,70075.0,134111.59086735762,535735501.39828515
"Potter County, TX",592.6303417,5,60,154,502,1218,3529,363,30,121661,88.0,194337.241315245,59526166.82203169
"Arkansas County, AR",591.1487457999999,0,4,24,83,339,429,34,7,18777,5053.0,114146.1582901591,119052333.64406338
"Chicot County, AR",591.0895457,0,4,8,56,83,171,2,2,11335,987.0,87467.86139126231,59526166.82203169
"Cochise County, AZ",590.856781,4,40,52,669,713,2662,197,32,129473,26178.0,105657.9853802395,654787835.0423486
"Wyandotte County, KS",590.457901,16,90,286,554,1834,5085,1256,80,160384,1476.0,78531.49676262343,119052333.64406338
"Lake County, CA",588.7879737000001,3,33,60,280,766,958,201,25,63860,10645.0,84092.55730195277,238104667.28812677
"Luna County, NM",588.0206009999999,0,9,6,130,243,583,28,4,24659,6131.0,62054.349474623355,297630834.11015844
"Manatee County, FL",585.7833537,26,141,388,1449,2720,7699,404,14,342106,15770.0,118761.38290989956,476209334.5762535
"Hampden County, MA",583.3274487000001,11,151,788,1776,4570,9836,1231,115,467319,105619.0,101733.44207411635,297630834.11015844
"New Castle County, DE",581.7888096,46,130,1167,1855,4310,12637,1015,22,549684,55887.0,130996.46260213178,773840168.6864121
"Calhoun County, AL",580.7976974,6,37,131,504,1710,3482,147,34,116736,11726.0,90790.86047365436,416683167.7542218
"Jackson County, IL",580.1317417,1,29,53,264,488,1683,73,20,59814,9812.0,87951.14947497202,119052333.64406338
"St. James Parish, LA",579.2570797999999,1,6,9,110,128,401,16,0,21752,5738.0,102259.94309849896,595261668.2203169
"Sullivan County, TN",578.5625339,3,56,70,777,1077,4129,299,37,156595,36003.0,110761.95310402875,238104667.28812677
"Greenville County, SC",577.3131534,20,189,451,2078,4000,11148,1254,67,474266,80263.0,119805.75286612083,833366335.5084438
"Concordia Parish, LA",577.2429312,2,4,5,107,142,304,18,0,20442,1627.0,49228.27047550821,119052333.64406338
"Jefferson County, KY",576.7462264,78,266,1557,2465,8103,21941,2430,250,756832,269378.0,126954.17326200039,2797729840.6354885
"Kern County, CA",575.8432818,65,174,1313,3424,10931,17584,6246,589,864124,163575.0,124377.88688415806,1845311171.4829834
"Clayton County, GA",575.2781772999999,28,71,693,728,4477,7068,1636,34,264220,8499.0,63179.014063130155,238104667.28812677
"Plumas County, CA",572.6708732999999,0,15,1,92,143,271,23,0,18859,1898.0,125618.11293875892,1190523336.4406343
"Kershaw County, SC",571.0538102,2,30,26,299,663,1333,124,4,62516,3131.0,152908.31121447,59526166.82203169
"Mecosta County, MI",570.6597383,0,20,0,226,181,691,27,4,43108,404.0,56475.01881420991,119052333.64406338
"Natchitoches Parish, LA",569.7787317000001,4,7,24,188,518,1223,50,4,39138,7025.0,105607.0606886934,178578500.4660951
"Eddy County, NM",569.6670332,7,26,19,263,628,1596,133,7,55471,4652.0,114614.02322719112,178578500.4660951
"Union County, SC",567.2493757,2,9,20,128,270,776,31,8,28030,2095.0,52882.68982924354,297630834.11015844
"West Carroll Parish, LA",566.9428696,0,0,0,65,49,285,10,3,11465,115.0,81576.83128523809,59526166.82203169
"Vermilion County, IL",565.1757149,4,63,88,299,955,1979,124,27,80329,18826.0,96774.3519466451,595261668.2203169
"Rio Arriba County, NM",563.9848272999999,1,5,38,182,401,396,39,3,40072,6983.0,86324.84059663666,1011944835.974539
"Cumberland County, NC",562.7993899,30,95,728,980,6378,11924,999,104,325871,89649.0,103849.96681644826,357157000.9321901
"Hardeman County, TN",562.6092907000001,4,3,11,130,225,376,54,8,26306,3069.0,85109.64835535239,476209334.5762535
"Independence County, AR",562.2077466,0,22,16,170,601,830,121,25,36997,628.0,60653.69064058781,119052333.64406338
"St. Mary Parish, LA",562.1649888999999,1,19,41,240,412,1329,73,3,53543,3963.0,93838.53875479937,238104667.28812677
"Chambers County, AL",562.0279843,1,7,24,160,374,875,96,5,34162,2859.0,97899.21240709834,297630834.11015844
"Tehama County, CA",561.3968313999999,3,17,36,298,451,896,160,5,63057,11650.0,81745.41473389757,773840168.6864121
"Brooks County, GA",560.7115236000001,0,12,10,65,117,328,34,0,15516,1783.0,58145.48113025059,119052333.64406338
"Champaign County, IL",560.2815072999999,4,129,226,789,1571,4040,166,47,204897,23913.0,123439.08551931323,892892502.3304756
"Glynn County, GA",559.4542867,6,13,125,312,957,2814,112,8,81508,15496.0,113770.46992784894,178578500.4660951
"Henderson County, IL",557.9399142000001,0,1,1,37,69,103,0,1,6990,998.0,78850.71090916054,416683167.7542218
"Sierra County, CA",557.9258287,0,0,0,17,16,37,2,1,3047,693.0,90249.43595160455,416683167.7542218
"Claiborne County, TN",557.6679341,1,4,13,158,369,425,51,9,31560,2322.0,90565.7801749388,119052333.64406338
"Mecklenburg County, NC",556.9251355,54,240,1886,3339,8340,25995,2295,233,990977,345914.0,153854.26472043217,238104667.28812677
"Del Norte County, CA",556.0937107999999,1,22,24,108,288,283,116,6,27873,2889.0,110939.81854491099,238104667.28812677
"Prince George's County, MD",555.679764,63,173,2450,2260,6050,20025,5092,159,890081,183107.0,142277.43965632195,2500099006.525331
"Lafayette Parish, LA",554.9178019999999,17,37,267,960,2110,6959,396,46,230845,51355.0,146781.87941064665,178578500.4660951
"Butler County, MO",554.7431702,1,18,35,185,446,1524,79,10,43083,81.0,22499.65,59526166.82203169
"Sumter County, AL",553.8507597,1,2,4,67,99,194,15,0,13361,1113.0,45362.23662356737,238104667.28812677
"Mobile County, AL",552.3100664,46,87,661,1493,4458,12315,1034,92,414079,3008.0,101377.38251104111,476209334.5762535
"St. Landry Parish, LA",551.2018597,7,28,69,356,823,1641,84,3,83454,12611.0,97896.94405597767,476209334.5762535
"Cumberland County, NJ",551.0639921000001,7,32,316,512,2033,4567,164,33,157332,8852.0,91984.16720352048,416683167.7542218
"Pinellas County, FL",550.6712247,44,361,1206,3505,7392,24499,1755,167,929048,199833.0,125939.59323198503,952418669.1525073
"Clarendon County, SC",550.1382623,1,10,31,147,352,904,82,11,34355,807.0,78126.64979780959,178578500.4660951
"Chaves County, NM",549.9597405000001,8,37,48,269,756,2141,110,14,65823,898.0,62525.02315947745,178578500.4660951
"Wicomico County, MD",549.080241,5,30,148,371,764,2494,109,33,100896,15228.0,103609.29324143767,714314001.8643804
"Sacramento County, CA",547.6937429,79,383,2560,4986,11383,28679,8416,244,1462131,314023.0,119754.04102439362,1071471002.7965708
"Andrews County, TX",547.6516459,1,20,0,71,78,258,18,0,16799,4132.0,135837.301109836,59526166.82203169
"Stanislaus County, CA",547.1073719999999,38,129,788,1920,5551,12425,4085,117,525491,41229.0,120444.31260513021,654787835.0423486
"Spalding County, GA",546.7734102000001,3,24,82,240,797,2288,160,3,63829,8609.0,96841.34383107418,119052333.64406338
"Victoria County, TX",543.1643489,6,48,50,385,761,2218,130,19,90028,1568.0,111330.90147875405,178578500.4660951
"St. Francis County, AR",542.9200293,4,7,45,92,465,1081,34,9,27260,5348.0,85361.02039343047,416683167.7542218
"Wirt County, WV",542.2809693,0,1,0,31,42,57,11,2,5901,342.0,61622.3515051579,59526166.82203169
"Halifax County, NC",540.6618899,7,28,55,199,732,1226,81,13,53453,7347.0,86829.01215502026,238104667.28812677
"Jeff Davis County, GA",539.8560384,1,0,3,77,115,346,10,2,15004,1678.0,54341.63008937499,119052333.64406338
"Cecil County, MD",538.6947691,2,38,119,390,870,2362,138,45,101913,3074.0,122252.14863474117,297630834.11015844
"Brevard County, FL",537.9223453,30,199,505,2229,3945,11867,847,64,550823,76477.0,109231.3760064418,714314001.8643804
"Butler County, AL",537.8731803999999,6,5,11,87,182,408,30,3,20265,3310.0,84161.03680586156,119052333.64406338
"Montgomery County, TN",536.6094754,12,60,104,812,1171,3265,230,29,184119,51776.0,98900.4765005972,59526166.82203169
"Beaufort County, SC",536.5518686,12,48,146,716,1299,3522,219,26,171838,34686.0,144180.20298199286,595261668.2203169
"Forsyth County, NC",535.9614638999999,8,99,469,1360,5413,11233,831,112,361220,110281.0,131123.05656076697,416683167.7542218
"Fresno County, CA",534.2980847,76,170,1410,3448,10493,24451,6909,415,955272,30376.0,103812.7483710326,1369101836.9067295
"Kent County, DE",534.1880342000001,4,47,161,693,1230,4743,213,196,169416,8891.0,99188.70982092663,952418669.1525073
"Howard County, TX",533.9308933,3,20,12,158,303,908,54,7,36147,345.0,96057.61410996191,119052333.64406338
"Morgan County, MO",532.9385639999999,3,0,1,104,154,248,25,0,20265,160.0,76367.06460511399,178578500.4660951
"Anson County, NC",531.3252552,1,15,30,93,508,769,38,3,26161,3611.0,87809.35196335799,416683167.7542218
"Allen County, OH",530.8742806,8,73,120,358,1042,2646,132,25,105298,3641.0,118899.39499587161,238104667.28812677
"Clinch County, GA",529.8013245,2,0,8,26,75,171,2,1,6795,202.0,61271.371035432385,119052333.64406338
"Wilkes County, GA",529.4705295,1,1,1,50,50,126,5,0,10010,52.0,59978.0995794993,59526166.82203169
"Muskegon County, MI",529.2150075000001,4,119,192,590,1800,5164,305,61,171008,18387.0,83897.1771978966,416683167.7542218
"Lincoln County, WV",528.7814834,2,5,9,98,226,525,56,4,21559,806.0,103064.58633816952,119052333.64406338
"Gadsden County, FL",528.2071265,5,12,25,202,444,659,42,5,46194,2838.0,72508.88477997437,238104667.28812677
"Bullock County, AL",526.3652599,0,2,12,43,98,55,3,23,10639,1285.0,77383.35775794231,119052333.64406338
